,Layout,Wing,Span,dV,AoA,Cx,Cy,Cz,dCx,dCy,dMz
0,1,0,0.25,-10,12.0,0.077043,1.1535,-0.10849,-0.005552000000000001,-0.03770000000000007,-0.11456999999999998
1,1,0,0.25,-10,10.0,0.057963,1.0016,-0.031581,-0.005253000000000001,-0.041910000000000114,-0.124639
2,1,0,0.25,-10,9.0,0.049605,0.9245399999999999,0.0048125,-0.005059000000000008,-0.0440299999999999,-0.12952249999999998
3,1,0,0.25,-10,8.0,0.042059,0.84677,0.039769,-0.004838000000000002,-0.046109999999999984,-0.134302
4,1,0,0.25,-10,7.0,0.035338,0.76841,0.073244,-0.004587000000000001,-0.048170000000000046,-0.13896
5,1,0,0.25,-10,6.0,0.029455000000000002,0.68952,0.1052,-0.004308000000000003,-0.05020999999999998,-0.143499
6,1,0,0.25,-10,5.5,0.026831,0.6499,0.12059,-0.004158000000000002,-0.05121000000000009,-0.145715
7,1,0,0.25,-10,5.0,0.024421,0.61019,0.13558,-0.004002000000000002,-0.052220000000000044,-0.147893
8,1,0,0.25,-10,4.5,0.022225,0.57038,0.15018,-0.0038389999999999987,-0.053219999999999934,-0.15004586
9,1,0,0.25,-10,4.0,0.020243999999999998,0.53049,0.16437000000000002,-0.0036679999999999977,-0.05420999999999998,-0.15215800000000002
10,1,0,0.25,-10,3.5,0.018479,0.49051999999999996,0.17815999999999999,-0.0034909999999999993,-0.05518000000000001,-0.154241
11,1,0,0.25,-10,3.0,0.01693,0.4505,0.19153,-0.003307000000000001,-0.05615999999999999,-0.15628
12,1,0,0.25,-10,2.5,0.015597999999999999,0.41042,0.20449,-0.003115999999999999,-0.057130000000000014,-0.158287
13,1,0,0.25,-10,2.0,0.014484,0.3703,0.21702,-0.0029189999999999997,-0.05808000000000002,-0.160244
14,1,0,0.25,-10,1.5,0.013587,0.33015,0.22914,-0.0027150000000000004,-0.05903000000000003,-0.162175
15,1,0,0.25,-10,1.0,0.012907,0.28998,0.24083000000000002,-0.0025050000000000003,-0.05997000000000002,-0.16406200000000004
16,1,0,0.25,-10,0.5,0.012445,0.2498,0.25209000000000004,-0.002288,-0.06090999999999999,-0.16590600000000005
17,1,0,0.25,-10,0.0,0.012201,0.20961,0.26291,-0.002066,-0.061829999999999996,-0.167701
18,1,0,0.25,-10,-0.5,0.012173,0.16943,0.27331,-0.001837,-0.06273999999999999,-0.16946999999999998
19,1,0,0.25,-10,-1.0,0.012362,0.12928,0.28326,-0.001602000000000001,-0.063647,-0.17118
20,1,0,0.25,-10,-2.0,0.013386000000000002,0.049054,0.30186,-0.0011130000000000011,-0.065416,-0.17448000000000002
21,1,0,0.25,-10,-4.0,0.017995,-0.11073,0.33371999999999996,-6.400000000000156e-05,-0.06881999999999999,-0.18053999999999998
22,1,0,0.25,-8,12.0,0.076021,1.1487,-0.12460999999999998,-0.004530000000000006,-0.03290000000000015,-0.09845
23,1,0,0.25,-8,10.0,0.056934000000000005,0.99579,-0.050148000000000005,-0.0042240000000000055,-0.03610000000000002,-0.106072
24,1,0,0.25,-8,9.0,0.048583999999999995,0.91819,-0.014949,-0.004038,-0.037679999999999936,-0.10976099999999998
25,1,0,0.25,-8,8.0,0.041053,0.8399200000000001,0.018831,-0.003832000000000002,-0.03926000000000007,-0.113364
26,1,0,0.25,-8,7.0,0.034354,0.76105,0.051151,-0.003603000000000002,-0.04081000000000001,-0.116867
27,1,0,0.25,-8,6.0,0.0285,0.68166,0.08197,-0.003353000000000002,-0.04235,-0.120269
28,1,0,0.25,-8,5.5,0.025894,0.6418,0.096804,-0.0032210000000000016,-0.04311000000000009,-0.12192900000000001
29,1,0,0.25,-8,5.0,0.023503,0.6018399999999999,0.11125,-0.003084,-0.043869999999999965,-0.123563
30,1,0,0.25,-8,4.5,0.021327000000000002,0.5617800000000001,0.1253,-0.002940999999999999,-0.04461999999999999,-0.12516586
31,1,0,0.25,-8,4.0,0.019369,0.52165,0.13896,-0.0027930000000000003,-0.04536999999999991,-0.126748
32,1,0,0.25,-8,3.5,0.017628,0.48144,0.15220999999999998,-0.0026400000000000017,-0.04610000000000003,-0.128291
33,1,0,0.25,-8,3.0,0.016106,0.44117,0.16505999999999998,-0.002482999999999999,-0.04682999999999998,-0.12980999999999998
34,1,0,0.25,-8,2.5,0.014802000000000001,0.40086,0.1775,-0.002320000000000001,-0.04757,-0.131297
35,1,0,0.25,-8,2.0,0.013716999999999998,0.3605,0.18953,-0.0021519999999999977,-0.04827999999999999,-0.132754
36,1,0,0.25,-8,1.5,0.012851,0.32011,0.20114,-0.001979,-0.048990000000000034,-0.13417500000000002
37,1,0,0.25,-8,1.0,0.012204000000000001,0.2797,0.21233000000000002,-0.0018020000000000015,-0.04969000000000001,-0.13556200000000002
38,1,0,0.25,-8,0.5,0.011777,0.23929,0.22311,-0.00162,-0.0504,-0.136926
39,1,0,0.25,-8,0.0,0.011568,0.19887,0.23346,-0.0014330000000000002,-0.051089999999999997,-0.138251
40,1,0,0.25,-8,-0.5,0.011578,0.15846,0.24338,-0.001242,-0.05176999999999998,-0.13954
41,1,0,0.25,-8,-1.0,0.011806,0.11807000000000001,0.25288,-0.0010460000000000018,-0.052437,-0.14079999999999998
42,1,0,0.25,-8,-2.0,0.012912999999999999,0.037401,0.27058000000000004,-0.0006399999999999982,-0.053763,-0.14320000000000005
